MUESTRA,PUNTO,LADO,COOR1,COOR2,EDAD,SEXO,EDAD.SEXO,LONG.TOT,ANTREAL1,ANTREAL2,ANTREAL3,ANTREAL4,ANTTOT,DIAMCAB,UNA,EMPODIO3,MAN,DENS,MUCRON,FURTOT,PAO,OJO,TORAX2,ABDOM1,ABDOM4,ABDOM5,ABDOM6,ABDOMTOT
P,E,Izquierdo,14,135,Adulto,Hembra,Adulto-Hembra,1560,30,60,58,86,69,296,40,18,60,38,26,124,20,0,180,130,192,110,18,450
P,E,Izquierdo,13,139,Adulto,Hembra,Adulto-Hembra,1340,26,46,48,76,50,232,32,16,66,36,20,122,18,0,160,120,142,100,18,380
P,E,Izquierdo,11,135,Adulto,Hembra,Adulto-Hembra,1080,30,46,48,74,51,192,30,14,60,30,14,104,20,0,134,72,100,90,18,280
P,E,Izquierdo,10,139,Preadulto,Hembra,Preadulto-Hembra,1300,30,48,54,80,58,232,38,14,60,40,20,120,20,0,140,90,130,78,20,318
P,E,Izquierdo,11,133,Desconocido,Desconocido,Desconocido-Desconocido,1440,30,50,52,86,61,240,36,18,80,40,18,138,0,0,160,84,160,74,20,338
P,E,Izquierdo,13,135,Desconocido,Desconocido,Desconocido-Desconocido,1500,30,54,56,86,65,248,32,18,80,40,24,144,24,12,200,144,170,90,20,424
P,E,Izquierdo,12,139,Adulto,Macho,Adulto-Macho,1220,30,50,50,72,53,216,30,12,60,34,18,112,18,10,150,88,140,82,18,328
P,E,Izquierdo,9,138,Adulto,Hembra,Adulto-Hembra,1520,32,56,58,88,69,264,40,18,60,50,24,134,24,0,190,134,180,116,24,454
P,E,Izquierdo,7,136,Desconocido,Desconocido,Desconocido-Desconocido,1280,34,50,54,82,62,232,38,18,60,40,18,118,24,0,180,130,164,84,20,398
P,E,Izquierdo,8,133,Adulto,Hembra,Adulto-Hembra,1500,0,0,58,84,23,248,36,22,80,42,20,142,24,0,202,146,190,110,20,466
P,E,Izquierdo,12,136,Adulto,Macho,Adulto-Macho,1300,30,48,48,80,55,216,36,18,66,36,16,118,22,0,162,112,160,84,20,376
P,E,Izquierdo,14,139,Adulto,Macho,Adulto-Macho,1380,30,52,50,80,58,216,38,20,80,38,20,138,22,8,166,126,160,100,20,406
P,E,Izquierdo,13,143,Desconocido,Desconocido,Desconocido-Desconocido,1220,28,42,44,76,47,208,32,16,70,30,18,118,20,0,160,112,124,64,20,320
