MUESTRA,PUNTO,LADO,COOR1,COOR2,EDAD,SEXO,EDAD.SEXO,LONG.TOT,ANTREAL1,ANTREAL2,ANTREAL3,ANTREAL4,ANTTOT,DIAMCAB,UNA,EMPODIO3,MAN,DENS,MUCRON,FURTOT,PAO,OJO,TORAX2,ABDOM1,ABDOM4,ABDOM5,ABDOM6,ABDOMTOT
Q,E,Derecho,13,142,Adulto,Hembra,Adulto-Hembra,1700,34,64,58,90,75,272,42,20,80,40,20,140,24,12,230,156,192,80,20,448
Q,E,Derecho,14,136,Adulto,Hembra,Adulto-Hembra,1500,32,56,56,82,65,240,40,16,80,40,24,144,22,0,192,140,178,106,20,444
Q,E,Derecho,13,140,Preadulto,Hembra,Preadulto-Hembra,1440,26,48,54,86,59,240,36,16,70,40,22,132,22,10,186,140,170,102,20,432
Q,E,Derecho,11,136,Adulto,Macho,Adulto-Macho,1240,24,46,46,80,50,200,30,16,68,34,20,122,18,0,160,120,156,88,20,384
Q,E,Derecho,11,140,Preadulto,Macho,Preadulto-Macho,1280,24,44,48,80,50,200,34,16,70,40,20,130,20,12,180,124,160,90,20,394
Q,E,Derecho,12,143,Joven,Desconocido,Joven-Desconocido,1360,30,52,52,82,60,224,40,20,70,40,20,130,20,0,220,110,150,76,20,356
Q,E,Derecho,11,136,Adulto,Macho,Adulto-Macho,1320,28,54,54,78,59,240,34,14,70,36,20,126,20,0,140,112,164,90,14,380
Q,E,Derecho,12,139,Adulto,Macho,Adulto-Macho,1340,30,48,54,80,58,192,36,16,72,38,20,130,24,10,160,118,154,102,18,392
Q,E,Derecho,12,142,Desconocido,Desconocido,Desconocido-Desconocido,1420,34,54,48,86,63,248,40,18,70,44,22,136,22,0,188,132,146,74,24,376
Q,E,Derecho,13,134,Desconocido,Desconocido,Desconocido-Desconocido,1380,30,50,52,82,59,240,40,20,80,40,22,142,18,0,160,120,140,80,22,362
Q,E,Derecho,13,139,Adulto,Hembra,Adulto-Hembra,1440,30,50,48,80,56,232,34,12,80,40,20,140,16,0,180,140,160,90,20,410
Q,E,Derecho,14,141,Desconocido,Desconocido,Desconocido-Desconocido,1540,24,50,50,88,58,240,40,20,80,40,20,140,0,0,180,140,166,90,18,414
Q,E,Derecho,13,137,Adulto,Hembra,Adulto-Hembra,1540,0,0,0,0,2,264,38,20,60,44,20,124,20,0,190,130,172,92,22,416
Q,E,Derecho,12,134,Adulto,Macho,Adulto-Macho,1540,34,58,52,90,69,248,40,22,80,40,24,144,22,0,196,140,160,80,20,400
Q,E,Derecho,12,140,Preadulto,Hembra,Preadulto-Hembra,1300,26,42,50,80,51,216,34,18,60,36,18,114,18,0,152,118,150,88,20,376
Q,E,Derecho,13,138,Joven,Desconocido,Joven-Desconocido,840,20,28,34,50,18,152,20,10,50,22,12,84,14,10,100,72,78,50,16,216
Q,E,Derecho,13,142,Joven,Desconocido,Joven-Desconocido,840,24,30,32,56,23,152,20,12,50,24,14,88,14,0,100,76,92,60,14,242
R,F,Izquierdo,11,131,Adulto,Hembra,Adulto-Hembra,1180,26,50,58,72,55,200,14,30,70,38,20,128,20,12,154,112,150,92,18,372
R,F,Izquierdo,11,138,Preadulto,Macho,Preadulto-Macho,1220,28,50,42,70,47,200,12,28,60,34,14,108,20,0,150,120,134,66,16,336
S,F,Derecho,,,Joven,Desconocido,Joven-Desconocido,880,20,30,34,60,24,144,24,12,0,0,0,0,14,0,120,88,80,56,18,242
S,F,Derecho,,,Joven,Desconocido,Joven-Desconocido,660,16,24,30,50,12,128,10,20,30,18,10,58,10,0,80,56,66,44,12,178
S,F,Derecho,,,Preadulto,Hembra,Preadulto-Hembra,1100,24,40,40,66,37,184,14,28,56,28,16,100,20,10,128,96,130,82,24,332
S,F,Derecho,13,135,Preadulto,Hembra,Preadulto-Hembra,1280,24,48,48,76,50,208,16,32,60,38,20,118,20,0,160,116,150,90,18,374
S,F,Derecho,12,140,Preadulto,Macho,Preadulto-Macho,1120,24,40,46,70,42,200,14,30,70,32,18,120,18,0,140,100,130,80,16,326
S,F,Derecho,10,137,Desconocido,Desconocido,Desconocido-Desconocido,1340,30,50,52,86,61,232,18,38,60,40,14,114,20,0,150,120,140,80,20,360
S,F,Derecho,11,142,Adulto,Hembra,Adulto-Hembra,1400,26,56,56,84,63,248,18,40,80,38,18,136,22,12,186,130,170,80,20,400
S,F,Derecho,11,136,Joven,Desconocido,Joven-Desconocido,800,20,32,36,56,24,144,10,20,44,26,10,80,14,0,110,66,80,52,10,208
S,F,Derecho,8,141,Joven,Desconocido,Joven-Desconocido,1080,22,40,44,62,36,216,14,30,56,30,14,100,0,10,142,96,120,52,20,288
S,F,Derecho,9,139,Adulto,Hembra,Adulto-Hembra,1400,26,52,58,78,59,224,16,36,90,40,22,152,20,0,174,130,174,106,20,430
S,F,Derecho,10,142,Joven,Desconocido,Joven-Desconocido,1220,28,44,48,70,47,216,16,28,60,30,16,106,18,0,158,120,140,62,16,338
